序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,このケーキは甘いですか,いいえ、あまり甘くないです。
2,その雪は白いですか,いいえ、少し黄色みがかっています。
3,この部屋は汚いですか,いいえ、きれいに掃除されています。
4,彼の頭が痛いですか,いいえ、全く痛くありません。
5,この料理は旨いですか,いいえ、まずいです。
6,彼の車は黒いですか,いいえ、実は白です。
7,そのカーテンは薄いですか,いいえ、厚手です。
8,彼の声が煩いですか,いいえ、静かです。
9,この問題は易いですか,いいえ、難しいです。
10,この池は深いですか,いいえ、浅いです。
11,彼の答えは正しいですか,いいえ、間違っています。
12,このお茶は苦いですか,いいえ、甘いです。
13,その映画は悪いですか,いいえ、良かったです。
14,この川は短いですか,いいえ、長いです。
15,その糸は細いですか,いいえ、太いです。
16,そのテーブルは丸いですか,いいえ、四角いです。
17,この本は安いですか,いいえ、高いです。
18,この家は古いですか,いいえ、新しいです。
19,その列車は長いですか,いいえ、短いです。
20,彼の反応は早いですか,いいえ、遅いです。
21,この木は太いですか,いいえ、細いです。
22,その車は速いですか,いいえ、遅いです。
23,彼の家は駅に近いですか,いいえ、遠いです。
24,このパイプは詰まらないですか,いいえ、詰まっています。
25,この犬は小さいですか,いいえ、大きいです。
26,この部屋は狭いですか,いいえ、広いです。
27,今日は寒いですか,いいえ、暖かいです。
28,その映画は面白いですか,いいえ、つまらなかったです。
29,彼のかばんは重いですか,いいえ、軽いです。
30,この料理は美味しいですか,いいえ、まずいです。
31,この部屋は明るいですか,いいえ、暗いです。
32,その道路は危ないですか,いいえ、安全です。
33,そのイベントはすごいですか,いいえ、普通です。
34,彼はその人を嫌いですか,いいえ、好きです。
35,今日は暑いですか,いいえ、涼しいです。
36,お風呂のお湯は熱いですか,いいえ、温かいです。
37,今日はひし暑いですか,いいえ、過ごしやすいです。
38,このビルは高いですか,いいえ、低いです。
39,最近は忙しいですか,いいえ、暇です。
40,この机は低いですか,いいえ、高いです。
41,このアイスクリームは冷たいですか,いいえ、温かいです。
42,この料理は不味いですか,いいえ、美味しいです。
43,この料理は塩辛いですか,いいえ、甘いです。
44,このスープはしょっぱいですか,いいえ、ちょうどいいです。
45,この部屋は広いですか,いいえ、狭いです。
46,彼の助言は良いですか,いいえ、悪いです。
47,このテストは難しいですか,いいえ、易しいです。
48,この言葉の意味は正しいですか,いいえ、間違っています。
49,このカレーは辛いですか,いいえ、甘口です。
50,このクラスの生徒は少ないですか,いいえ、多いです。
51,彼の話は多いですか,いいえ、少ないです。
52,彼女の笑顔は可愛いですか,いいえ、美しいです。
53,そのジョークは可笑しいですか,いいえ、つまらないです。
54,彼と私は親しいですか,いいえ、知り合いです。
55,彼は寂しいですか,いいえ、満足しています。
56,彼女のドレスは美しいですか,いいえ、普通です。
57,彼はこの地域に詳しいですか,いいえ、初めて来ました。
58,彼は偉いですか,いいえ、普通の人です。
59,その話はおかしいですか,いいえ、真面目な話です。
60,彼の行動はひどいですか,いいえ、適切です。
61,彼の無駄遣いはもったいないですか,いいえ、経済的です。
62,彼女は悲しいですか,いいえ、元気です。
63,彼は弱いですか,いいえ、強いです。
64,その先生は厳しいですか,いいえ、優しいです。
65,この店は幅広い品揃えですか,いいえ、狭いです。
66,この布は柔らかいですか,いいえ、硬いです。
67,彼の握手は力強いですか,いいえ、弱いです。
68,この木は硬いですか,いいえ、柔らかいです。
69,この本は厚いですか,いいえ、薄いです。
70,彼はおとなしい性格ですか,いいえ、活発です。
71,彼女は恥ずかしいですか,いいえ、自信があります。
72,その花は珍しいですか,いいえ、よく見かけます。
73,その映画はひどいですか,いいえ、面白かったです。
74,この布は粗いですか,いいえ、滑らかです。
75,このかばんは軽いですか,いいえ、重いです。
76,彼の言葉遣いは優しいですか,いいえ、厳しいです。
77,この部屋は暗いですか,いいえ、明るいです。

