序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,このケーキは甘いですか,いいえ、甘くないです。
2,その雪は白いですか,いいえ、白くありません。
3,この部屋は汚いですか,いいえ、汚くないです。
4,彼の頭が痛いですか,いいえ、痛くありません。
5,この料理は旨いですか,いいえ、旨くないです。
6,彼の車は黒いですか,いいえ、黒くありません。
7,そのカーテンは薄いですか,いいえ、薄くないです。
8,彼の声が煩いですか,いいえ、煩くありません。
9,この問題は易いですか,いいえ、易しくないです。
10,この池は深いですか,いいえ、深くありません。
11,彼の答えは正しいですか,いいえ、正しくありません。
12,このお茶は苦いですか,いいえ、苦くないです。
13,その映画は悪いですか,いいえ、悪くありません。
14,この川は短いですか,いいえ、短くないです。
15,その糸は細いですか,いいえ、細くありません。
16,そのテーブルは丸いですか,いいえ、丸くないです。
17,この本は安いですか,いいえ、安くないです。
18,この家は古いですか,いいえ、古くありません。
19,その列車は長いですか,いいえ、長くありません。
20,彼の反応は早いですか,いいえ、早くないです。
21,この木は太いですか,いいえ、太くありません。
22,その車は速いですか,いいえ、速くないです。
23,彼の家は駅に近いですか,いいえ、近くありません。
24,このパイプは詰まらないですか,いいえ、詰まっていません。
25,この犬は小さいですか,いいえ、小さくありません。
26,この部屋は狭いですか,いいえ、狭くないです。
27,今日は寒いですか,いいえ、寒くないです。
28,その映画は面白いですか,いいえ、面白くありません。
29,彼のかばんは重いですか,いいえ、重くないです。
30,この料理は美味しいですか,いいえ、美味しくありません。
31,この部屋は明るいですか,いいえ、明るくないです。
32,その道路は危ないですか,いいえ、危なくないです。
33,そのイベントはすごいですか,いいえ、すごくありません。
34,彼は嫌いですか,いいえ、嫌いではありません。
35,今日は暑いですか,いいえ、暑くないです。
36,このコーヒーは熱いですか,いいえ、熱くありません。
37,今日はひし暑いですか,いいえ、ひし暑くないです。
38,この山は高いですか,いいえ、高くありません。
39,彼は忙しいですか,いいえ、忙しくありません。
40,この机は低いですか,いいえ、低くありません。
41,このアイスクリームは冷たいですか,いいえ、冷たくありません。
42,この料理は不味いですか,いいえ、不味くないです。
43,この漬物は塩辛いですか,いいえ、塩辛くありません。
44,このスープはしょっぱいですか,いいえ、しょっぱくありません。
45,この部屋は広いですか,いいえ、広くありません。
46,この映画は良いですか,いいえ、良くありません。
47,このテストは難しいですか,いいえ、難しくありません。
48,この問題は易しいですか,いいえ、易しくありません。
49,このカレーは辛いですか,いいえ、辛くありません。
50,この部屋は少ないですか,いいえ、少なくありません。
51,この本は多いですか,いいえ、多くありません。
52,その犬は可愛いですか,いいえ、可愛くありません。
53,そのジョークは可笑しいですか,いいえ、可笑しくありません。
54,彼は親しいですか,いいえ、親しくありません。
55,今日は寂しいですか,いいえ、寂しくありません。
56,この花は美しいですか,いいえ、美しくありません。
57,この計画は詳しいですか,いいえ、詳しくありません。
58,その人は偉いですか,いいえ、偉くありません。
59,この話はおかしいですか,いいえ、おかしくありません。
60,この映画はひどいですか,いいえ、ひどくありません。
61,この料理はもったいないですか,いいえ、もったいなくありません。
62,その出来事は悲しいですか,いいえ、悲しくありません。
63,彼は弱いですか,いいえ、弱くありません。
64,その教師は厳しいですか,いいえ、厳しくありません。
65,この店は幅広いですか,いいえ、幅広くありません。
66,この布は柔らかいですか,いいえ、柔らかくありません。
67,その音は力強いですか,いいえ、力強くありません。
68,この木は硬いですか,いいえ、硬くありません。
69,この本は厚いですか,いいえ、厚くありません。
70,この猫はおとなしいですか,いいえ、おとなしくありません。
71,あなたは恥ずかしいですか,いいえ、恥ずかしくありません。
72,その会議は長いですか,いいえ、長くありません。
73,このコーヒーは苦いですか,いいえ、苦くありません。
74,その本は面白いですか,いいえ、面白くありません。
75,この問題は深いですか,いいえ、深くありません。
76,その建物は高いですか,いいえ、高くありません。
77,このラーメンは美味しいですか,いいえ、美味しくありま

